MILANO	2039	MI
BRESCIA	828	BS
CREMONA	828	CR
BERGAMO	808	BG
CREMA	320	CR
LODI	301	LO
CODOGNO	267	LO
MONZA	188	MB
NEMBRO	184	BG
CASTIGLIONE D'ADDA	178	LO
ALBINO	177	BG
VIGEVANO	170	PV
CASALPUSTERLENGO	163	LO
SERIATE	158	BG
ALZANO LOMBARDO	157	BG
ORZINUOVI	156	BS
COLOGNO MONZESE	153	MI
PAVIA	145	PV
VOGHERA	142	PV
SESTO SAN GIOVANNI	137	MI
MONTICHIARI	132	BS
LECCO	131	LC
BRESSO	127	MI
DALMINE	121	BG
TREVIGLIO	110	BG
MANERBIO	110	BS
CASTELLEONE	108	CR
ZOGNO	104	BG
CHIARI	100	BS
SORESINA	99	CR
CINISELLO BALSAMO	97	MI
PALAZZOLO SULL'OGLIO	91	BS
LEGNANO	86	MI
CLUSONE	84	BG
DESENZANO DEL GARDA	84	BS
ROMANO DI LOMBARDIA	83	BG
TORRE BOLDONE	82	BG
CASALMAGGIORE	79	CR
PIOLTELLO	79	MI
SEGRATE	77	MI
BAGNOLO MELLA	77	BS
MANTOVA	77	MN
VIADANA	77	MN
GUSSAGO	74	BS
COMO	74	CO
SAN GIULIANO MILANESE	74	MI
DARFO BOARIO TERME	73	BS
LISSONE	73	MB
LENO	73	BS
ROVATO	72	BS
GHEDI	71	BS
CARPENEDOLO	71	BS
CASTIGLIONE DELLE STIVIERE	69	MN
CERNUSCO SUL NAVIGLIO	69	MI
PIZZIGHETTONE	68	CR
CONCESIO	68	BS
PONTE SAN PIETRO	67	BG
ROZZANO	67	MI
BORGOSATOLLO	67	BS
VILLA DI SERIO	66	BG
CALOLZIOCORTE	65	LC
OSPITALETTO	65	BS
PANDINO	65	CR
TREZZO SULL'ADDA	65	MI
CARAVAGGIO	64	BG
STEZZANO	64	BG
OSIO SOTTO	61	BG
GAZZANIGA	60	BG
RHO	59	MI
TREVIOLO	59	BG
OFFANENGO	59	CR
CASTELVERDE	58	CR
PADERNO DUGNANO	58	MI
BUSTO ARSIZIO	57	VA
BOLLATE	57	MI
VEROLANUOVA	57	BS
MARTINENGO	57	BG
CAPRIOLO	55	BS
BORGO SAN GIACOMO	55	BS
SAN DONATO MILANESE	54	MI
MEDIGLIA	54	MI
BRUGHERIO	54	MB
BORGHETTO LODIGIANO	53	LO
SCANZOROSCIATE	53	BG
CAZZAGO SAN MARTINO	53	BS
MERATE	53	LC
CASTEL GOFFREDO	53	MN
VIMERCATE	52	MB
LONATO DEL GARDA	51	BS
PONTEVICO	51	BS
CASTELLI CALEPIO	51	BG
CALUSCO D'ADDA	51	BG
LUMEZZANE	51	BS
URGNANO	51	BG
CORMANO	50	MI
GRUMELLO DEL MONTE	49	BG
ISEO	49	BS
SAN PAOLO	49	BS
COCCAGLIO	49	BS
TRESCORE BALNEARIO	48	BG
VILLA D'ALME'	47	BG
SAREZZO	47	BS
PISOGNE	47	BS
BREMBATE DI SOPRA	47	BG
ABBIATEGRASSO	47	MI
RONCADELLE	46	BS
MALEO	45	LO
GAVARDO	45	BS
CASTENEDOLO	45	BS
DESIO	45	MB
CUSANO MILANINO	45	MI
SERMIDE E FELONICA	45	MN
