"COD_RIP","COD_REG","COD_PROV","COD_CM","COD_UTS","PRO_COM","PRO_COM_T","COMUNE","COMUNE_A","CC_UTS","covid19","pop2011"
1,3,19,0,19,19009,"019009","Calvatone",NA,0,8,1260
1,3,19,0,19,19010,"019010","Camisano",NA,0,7,1303
1,3,19,0,19,19011,"019011","Campagnola Cremasca",NA,0,0,683
1,3,18,0,18,18113,"018113","Pieve del Cairo",NA,0,6,2108
1,3,19,0,19,19068,"019068","Persico Dosimo",NA,0,39,3372
1,3,16,0,16,16156,"016156","Palazzago",NA,0,14,4293
1,3,16,0,16,16157,"016157","Palosco",NA,0,28,5773
1,3,18,0,18,18123,"018123","Robbio",NA,0,0,6164
1,3,18,0,18,18124,"018124","Robecco Pavese",NA,0,0,569
1,3,20,0,20,20021,"020021","Curtatone",NA,0,19,14570
1,3,14,0,14,14035,"014035","Madesimo",NA,0,0,540
1,3,19,0,19,19069,"019069","Pescarolo ed Uniti",NA,0,9,1608
1,3,19,0,19,19070,"019070","Pessina Cremonese",NA,0,0,673
1,3,18,0,18,18052,"018052","Confienza",NA,0,0,1671
1,3,17,0,17,17118,"017118","Niardo",NA,0,5,1950
1,3,18,0,18,18035,"018035","Cassolnovo",NA,0,11,6940
1,3,17,0,17,17143,"017143","Pisogne",NA,0,47,8112
1,3,108,0,108,108002,"108002","Aicurzio",NA,0,0,2067
1,3,16,0,16,16215,"016215","Torre de' Busi",NA,0,6,2007
1,3,98,0,98,98058,"098058","Turano Lodigiano",NA,0,18,1538
1,3,97,0,97,97009,"097009","Bosisio Parini",NA,0,0,3504
1,3,97,0,97,97010,"097010","Brivio",NA,0,12,4686
1,3,13,0,13,13253,"013253","Alta Valle Intelvi",NA,0,0,2835
1,3,15,215,215,15071,"015071","Cerro al Lambro",NA,0,0,4956
1,3,16,0,16,16134,"016134","Mezzoldo",NA,0,0,193
1,3,12,0,12,12075,"012075","Gerenzano",NA,0,6,10411
1,3,12,0,12,12076,"012076","Germignaga",NA,0,0,3724
1,3,12,0,12,12077,"012077","Golasecca",NA,0,0,2653
1,3,12,0,12,12093,"012093","Luvinate",NA,0,0,1309
1,3,12,0,12,12095,"012095","Malgesso",NA,0,0,1298
1,3,13,0,13,13145,"013145","Menaggio",NA,0,6,3182
1,3,13,0,13,13147,"013147","Merone",NA,0,8,4155
1,3,16,0,16,16101,"016101","Fontanella",NA,0,14,4339
1,3,16,0,16,16102,"016102","Fonteno",NA,0,5,685
1,3,15,215,215,15113,"015113","Inveruno",NA,0,20,8609
1,3,16,0,16,16073,"016073","Chiuduno",NA,0,31,5852
1,3,15,215,215,15237,"015237","Vignate",NA,0,15,9053
1,3,15,215,215,15242,"015242","Vimodrone",NA,0,27,16426
1,3,15,215,215,15243,"015243","Vittuone",NA,0,32,8949
1,3,15,215,215,15244,"015244","Vizzolo Predabissi",NA,0,27,4045
1,3,15,215,215,15114,"015114","Inzago",NA,0,29,10540
1,3,15,215,215,15115,"015115","Lacchiarella",NA,0,8,8390
1,3,15,215,215,15116,"015116","Lainate",NA,0,26,25054
1,3,16,0,16,16046,"016046","Calusco d'Adda",NA,0,51,8233
1,3,16,0,16,16047,"016047","Calvenzano",NA,0,22,4061
1,3,16,0,16,16048,"016048","Camerata Cornello",NA,0,0,627
1,3,15,215,215,15146,"015146","Milano",NA,1,2039,1242123
1,3,15,215,215,15150,"015150","Morimondo",NA,0,0,1183
1,3,15,215,215,15205,"015205","Segrate",NA,0,77,33519
1,3,15,215,215,15206,"015206","Senago",NA,0,18,20914
1,3,15,215,215,15209,"015209","Sesto San Giovanni",NA,0,137,76514
1,3,16,0,16,16049,"016049","Canonica d'Adda",NA,0,13,4207
1,3,16,0,16,16092,"016092","Dossena",NA,0,6,962
1,3,15,215,215,15247,"015247","Zibido San Giacomo",NA,0,0,6552
1,3,15,215,215,15248,"015248","Villa Cortese",NA,0,10,6150
1,3,15,215,215,15249,"015249","Vanzaghello",NA,0,0,5344
1,3,15,215,215,15250,"015250","Baranzate",NA,0,11,10779
1,3,17,0,17,17049,"017049","Cerveno",NA,0,6,663
1,3,108,0,108,108025,"108025","Lazzate",NA,0,0,7603
1,3,108,0,108,108026,"108026","Lesmo",NA,0,10,8094
1,3,108,0,108,108027,"108027","Limbiate",NA,0,38,33903
1,3,108,0,108,108028,"108028","Lissone",NA,0,73,42220
1,3,13,0,13,13170,"013170","Orsenigo",NA,0,0,2757
1,3,13,0,13,13134,"013134","Longone al Segrino",NA,0,0,1780
1,3,13,0,13,13135,"013135","Luisago",NA,0,0,2686
1,3,13,0,13,13136,"013136","Lurago d'Erba",NA,0,0,5335
1,3,13,0,13,13137,"013137","Lurago Marinone",NA,0,0,2456
1,3,13,0,13,13138,"013138","Lurate Caccivio",NA,0,0,9922
1,3,13,0,13,13139,"013139","Magreglio",NA,0,0,645
1,3,13,0,13,13044,"013044","Carate Urio",NA,0,0,1216
1,3,13,0,13,13045,"013045","Carbonate",NA,0,0,2905
1,3,13,0,13,13046,"013046","Carimate",NA,0,5,4327
1,3,13,0,13,13047,"013047","Carlazzo",NA,0,0,2972
1,3,13,0,13,13048,"013048","Carugo",NA,0,5,6243
1,3,13,0,13,13024,"013024","Bizzarone",NA,0,0,1517
1,3,13,0,13,13178,"013178","Peglio",NA,0,0,185
1,3,13,0,13,13183,"013183","Pianello del Lario",NA,0,0,1041
1,3,13,0,13,13184,"013184","Pigra",NA,0,0,266
1,3,17,0,17,17057,"017057","Collebeato",NA,0,21,4698
1,3,17,0,17,17063,"017063","Corteno Golgi",NA,0,0,2015
1,3,13,0,13,13053,"013053","Casnate con Bernate",NA,0,11,4915
1,3,12,0,12,12109,"012109","Origgio",NA,0,0,7416
1,3,19,0,19,19109,"019109","Trescore Cremasco",NA,0,15,2882
1,3,16,0,16,16243,"016243","Vilminore di Scalve",NA,0,9,1491
1,3,16,0,16,16244,"016244","Zandobbio",NA,0,16,2720
1,3,18,0,18,18168,"018168","Valle Lomellina",NA,0,0,2153
1,3,18,0,18,18169,"018169","Valle Salimbene",NA,0,0,1537
1,3,18,0,18,18135,"018135","San Genesio ed Uniti",NA,0,6,3788
1,3,18,0,18,18136,"018136","San Giorgio di Lomellina",NA,0,0,1155
1,3,19,0,19,19110,"019110","Trigolo",NA,0,17,1760
1,3,19,0,19,19111,"019111","Vaiano Cremasco",NA,0,23,3869
1,3,19,0,19,19112,"019112","Vailate",NA,0,24,4460
1,3,19,0,19,19046,"019046","Gadesco-Pieve Delmona",NA,0,11,2015
1,3,19,0,19,19047,"019047","Genivolta",NA,0,8,1178
1,3,19,0,19,19094,"019094","Sergnano",NA,0,28,3631
1,3,18,0,18,18177,"018177","Vigevano",NA,0,170,60109
1,3,19,0,19,19064,"019064","Ostiano",NA,0,19,3020
